IDEnquestat	IDCol·lector	DataInici	DataFinal	AdreçaElectrònica	Nom	Cognoms	DadesPersonalitzades	Respecte a l'accés a l'habitatge, creus que al teu barri?	Quin creus que és el principal problema en relacio a l'accés a l'habitatge? (Tria fins a dues opcions)								Creus que la situació respecte a l'ensenyament públic (incloses totes les etapes) al barri és?	Quin creus que és el principal problema en relació  a l'accés a l’escola pública? (Tria fins a dues opcions)						Creus que la situació de l’atenció sanitària pública al teu barri és?	Quin creus que és el principal problema en relació a l'accés a l’atenció sanitària? (Tria fins a dues opcions)							Creus que les tarifes actuals del transport públic són?	Com valoraries la qualitat de l'aire que es respira al teu barri?	El nivell de soroll (diürn i nocturn) en el teu barri és?	Creus que el nivell de turisme al teu barri és?	Quin creus que és el principal inconvenient en relació al nivell de turisme al teu barri? (Tria fins a dues opcions)								Quins tipus d'espai fan més falta al barri? (Tria fins a dues opcions)							Les possibilitats per què la ciutadania opini i influeixi en les polítiques municipals actualment són?	Creus que les instàncies de vida associativa (cooperatives, entitats culturals, etc) al teu barri són?	Estaries d'acord amb que el regidor del districte sigui escollit directament per la gent?	Quins altres problemes no esmentats en el qüestionari són importants al barri on vius? I per la ciutat?	Tens alguna proposta per al barri / districte que es pogués implementar en el futur?	Quants anys tens?	Identifiques el teu gènere com		Barri		Codi Postal	Quin és el nivell màxim d'educació que has obtingut?	Quina és la teva situació laboral?		Participes en alguna associació / organització?
?	?	?	?	?	?	?	?	Resposta	Relació qualitat-preu del lloguer / compra	Manca d'oferta de lloguer / compra	Manca d'oferta pública / cooperativa	Dificultats accés als crèdits	Condicions dels habitatges	Desnonaments	Excés de pisos buits	Altres (especifiqueu)	Resposta	Poques places	Lluny de casa	Estat dels edificis i instal·lacions	Mala qualitat de l'ensenyament	Desigualtat entre escoles	Altres (especifiqueu)	Resposta	Manca de centres d'atenció primària	Manca de places/serveis hospitalaris	Manca de serveis d'urgències	Durada dels temps d'espera	Problemes d'atenció / tracte	Problemes de qualitat	Altres (especifiqueu)	Resposta	Resposta	Resposta	Resposta	Nivell excessiu	Nivell insuficient	Encariment dels preus (aliments, oci, habitatge, etc.)	Saturació dels espais públics	Sorolls	Augment de les escombraries, brutícia	Cap	Altres (especifiqueu)	Parcs / zones verdes	Biblioteques	Centres Civics	Zones per a esports	Zones de jocs per a nens	Places	Altres (especifiqueu)	Resposta	Resposta	Resposta	Resposta oberta/finalitzada	Resposta oberta/finalitzada	Resposta	Resposta	Altres (especifiqueu)	Resposta	Un altre	Resposta oberta/finalitzada	Resposta	Resposta	Altres (especifiqueu)	Resposta
3723032581	60358171	28/01/2015 20:09:16	28/01/2015 20:15:52					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra		Manca d'oferta pública / cooperativa						Adequada						no tengo conocimiento de la situación	Adequada					Problemes d'atenció / tracte	Problemes de qualitat		Elevades	Molt dolenta	Molt alt	Perjudicial			Encariment dels preus (aliments, oci, habitatge, etc.)	Saturació dels espais públics						Biblioteques		Zones per a esports				Molt insuficients	Adequades	Sí	pobreza/marginalidad extrema (ciudad); carriles bici racionales (ciudad)		36	Dona		El Poble Sec		8004	Universitària	Treballador per compte aliè		Sí
3722788641	60358171	28/01/2015 18:55:36	28/01/2015 19:09:45					Hi ha alguns problemes			Manca d'oferta pública / cooperativa						Dolenta							Adequada								Massa elevades	Bona	Baix	Ni perjudicial ni beneficiós			Encariment dels preus (aliments, oci, habitatge, etc.)													Molt insuficients	Insuficients	Sí	Ña manca de participació de la ciutadania en les decisions que pren l'Ajuntament, sobre tot en relació amb les despeses que es planifiquen, no sempre necessàries i quasi sempre no prioritàries per a la gent	Augmentar el nivell d'informació que rep la ciutadania i la seva participació en la vida del barri.	59	Dona		Sant Gervasi		8022	Universitària	Altres (especifiqueu)	Funcionària	Sí
3722744219	60358171	28/01/2015 18:43:03	28/01/2015 19:41:26					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra						Excés de pisos buits		Dolenta				Mala qualitat de l'ensenyament	Desigualtat entre escoles		Dolenta			Manca de serveis d'urgències				Manca de professionals (perquè han acomiadat a molts)	Massa elevades	Dolenta	Alt	Perjudicial	Nivell excessiu					Augment de les escombraries, brutícia			Parcs / zones verdes							Insuficients	Insuficients	Sí	Per la ciutat: la reconversió del zoo de Barcelona en un centre de recuperació de fauna (es vergonyòs el que tenim ara)	Més zones d'esbarjo per gossos	31	Home		----GRÀCIA			Secundària	Treballador per compte aliè		Sí
3721768914	60358171	28/01/2015 13:25:19	28/01/2015 13:32:51					Hi ha greus problemes								inaccesibles per mollts	Dolenta	Poques places						Dolenta		Manca de places/serveis hospitalaris						Massa elevades	Molt dolenta	Molt alt	Perjudicial			Encariment dels preus (aliments, oci, habitatge, etc.)						Parcs / zones verdes					Places		Insuficients	Insuficients	Sí			57	Home		El Raval			Secundària	Aturat		No
3721644247	60358171	28/01/2015 12:20:10	28/01/2015 12:30:08					Hi ha alguns problemes	Relació qualitat-preu del lloguer / compra						Excés de pisos buits	densitat de pisos turístics, blocs sencers d'apartaments, hotels	Adequada					Desigualtat entre escoles		Adequada			Manca de serveis d'urgències	Durada dels temps d'espera		Problemes de qualitat		Elevades	Dolenta	Alt	Perjudicial			Encariment dels preus (aliments, oci, habitatge, etc.)	Saturació dels espais públics	Sorolls	Augment de les escombraries, brutícia			Parcs / zones verdes							Insuficients	Adequades	Sí	Falten carrils bici segurs ben segregats i senyalitzats, tenen el paviment ple de bonys i forats, estan mal connectats i són insuficients per anar a tot arreu amb bici	Semàfors específics per a bicis amb semàfor taronja intermitent en qualsevol creuament de carril bici	48	Home		La Sagrada Família		8013	Universitària	Treballador per compte aliè		Sí
3721399837	60358171	28/01/2015 09:52:11	28/01/2015 09:54:33					Hi ha alguns problemes			Manca d'oferta pública / cooperativa	Dificultats accés als crèdits					Adequada	Poques places						Adequada			Manca de serveis d'urgències					Elevades	Dolenta	Molt alt	Ni perjudicial ni beneficiós							Cap		Parcs / zones verdes							Insuficients	Adequades	Sí			65	Home		El Clot		8018	Universitària	Jubilat / Pensionista		Sí
3721396304	60358171	28/01/2015 09:49:47	28/01/2015 09:51:53					Hi ha alguns problemes			Manca d'oferta pública / cooperativa						Adequada				Mala qualitat de l'ensenyament			Dolenta		Manca de places/serveis hospitalaris		Durada dels temps d'espera				Elevades	Molt dolenta	Normal	Ni perjudicial ni beneficiós							Cap			Biblioteques		Zones per a esports				Molt insuficients	Molt insuficients	Sí			58	Home		El Clot		8018	Secundària	Treballador per compte aliè		Sí
3721393058	60358171	28/01/2015 09:47:35	28/01/2015 09:49:30					Hi ha alguns problemes		Manca d'oferta de lloguer / compra	Manca d'oferta pública / cooperativa						Dolenta				Mala qualitat de l'ensenyament			Adequada		Manca de places/serveis hospitalaris						Elevades	Dolenta	Normal	Ni perjudicial ni beneficiós							Cap		Parcs / zones verdes				Zones de jocs per a nens			Adequades	Adequades	Sí			66	Dona		El Clot		8026		Jubilat / Pensionista		No
3721219963	60358171	28/01/2015 07:33:30	28/01/2015 07:39:13					Hi ha alguns problemes				Dificultats accés als crèdits			Excés de pisos buits		Molt dolenta	Poques places		Estat dels edificis i instal·lacions		Desigualtat entre escoles		Dolenta			Manca de serveis d'urgències			Problemes de qualitat		Massa elevades	Dolenta	Normal	Ni perjudicial ni beneficiós								Manca d'activitats o actes que permetin obrir el barri a Barcelona				Zones per a esports	Zones de jocs per a nens			Insuficients	Adequades	Sí	Tenim un transport public molt millorable, mes pressencia policial evitaria molts dels problemes d'inseguretat, un govern que escolti	Que tornin les urgencies al Cap, que arribi l'H8 a la parada del metro, busos amb una freqúencia major de pas	33	Dona		El Bon Pastor		8030	Universitària	Treballador per compte aliè		Sí
