districte;barris;barri_nom;barri_curt;poblacio;superficies;densitat;densitat_neta;homes;dones;e0_14_anys;e15_24_anys;e25_64_anys;e65 anys_i_mes;andalusia;arago;asturies;balears;canaries;cantabria;castellalamanxa;castellalleo;catalunya;valencia;extremadura;galicia;madrid;murcia;navarra;pais_basc;rioja;ceuta_melilla;estranger;espanya;alemanya;austria;belgica;bulgaria;dinamarca;eslovaquia;eslovenia;estonia;finlandia;franca;grecia;hongria;irlanda;italia;letonia;lituania;luxemburg;malta;holanda;polonia;portugal;uk;romania;suecia;rep_txeca;xipre;albania;andorra;armenia;bielorussia;bosnia;croacia;georgia;islandia;liechtenstein;maceconia;moldavia;monaco;montenegro;noruega;russia;serbia;suissa;ucraina;algeria;angola;benin;burkinafaso;burunci;camerun;cap_verd;rep_centreafrica;congo;congo_rd;costaivori;egipte;eritrea;etiopia;gabon;gambia;ghana;guinea;guinea_bissau;guinea_equatorial;kenya;liberia;libia;macagascar;malawi;mali;marroc;maurici;mauritania;mocambic;namibia;niger;nigeria;rwanda;sao_tome_principe;senegal;seychelles;sierraleone;somalia;sucafrica;sucan;tanzania;togo;tunisia;uganca;zambia;zimbabwe;altres_paisos_africa;canaca;eeuu;antigua;bahames;barbacos;belize;costa_rica;cuba;dominica;dominicana_republica;granaca;guatemala;haiti;honcures;jamaica;mexic;nicaragua;panama;christopher_i_nevis;saintlucia;salvacor;trinitat_i_tobago;argentina;bolivia;brasil;colombia;equacor;guyana;paraguai;peru;uruguai;venecuela;xile;afganistan;arabia_saudita;azerbaidjan;bangladesh;cambodja;corea;filipines;iemen;india;indonesia;iran;iraq;israel;japo;jorcania;kazakhstan;kirguizistan;kuwait;laos;liban;malaisia;mongolia;myanmar;nepal;oman;pakistan;singapur;siria;sri_lanka;tacjikistan;tailancia;turkmenistan;turquia;uea;uzbekistan;vietnam;xina;altres_asia;australia;nova_zelanda;apatrides;per_llar;persones_per_llar;menors_24;de25_29_anys;de30_34_anys;de35_39_anys;de40_44_anys;de45_49_anys;de50_54_anys;de55_59_anys;de60_64_anys;de65_69_anys;de70_74_anys;de75_79_anys;de80_84_anys;de85_89_anys;de90_94_anys;de95_i_mes;sols_total;sense_estudis;primaris;second_inferior;second_superior;universitaris;no_consta;senseestucis_dones;primaris_dones;dones_batxilleratelemental;dones_batxilleratsuperior;dones_superior;dones_no_consta;persona1;persones2;persones3;persones4;persones5;persones6;persones7;persones8;persones9_i_mes;cap_menor;menor1;menors2;menors3;menors_4_o_mes;tots_espanyols;tots_estrangers;llars_mixtes;edatmitjana_totsespanyols;edatmitjana_totsestrangers;edatmitjana_mixtes;emigrants;emigrants_homes;emigrants_dones;naixements_2007;naixements_2008;naixements_2009;naixements2010;naixements2011;naixements2012;baixa_per_mil;alta_taxa_per_mil;total_aturats;atur_menys6mesos;atur6a12mesos;aturmes12mesos;atur_homes;atur_dones;rfbc2008_old;rfbc2009_old;rfbc2010_old;rfbc2011_old;rfbc2008;rfbc2012;rfbc2014;fins_a_75_cc;de_75_a_125_cc;de_126_a_200;de_201_a_250_cc;de_251_a_300_cc;de_301_a_500_cc;de_501_a_750_cc;mes_de_750_cc;vehiclestotal;turismes;motos;ciclomotors;furgonetes;camions;altres_vehicles;cotxes_menys_dun_any;cotxes_1_any;cotxes_2_anys;cotxes_3_anys;cotxes_4_anys;cotxes_5_anys;cotxes_6_anys;cotxes_7_anys;cotxes_8_anys;cotxes_9_anys;cotxes_10_anys;cotxes_d11_a_15;cotxes_mes_15;llars;propi_compra_pagat;propi_compra_hipoteca;propi_herencia;llogat;cedit;altra_forma;fins_a_30_m2;de31_a_60_m2;de61_a_90_m2;de91_a_120_m2;de121_a_150_m2;mes_de_150_m2;habitacio1;habitacions2;habitacions3;habitacions4;habitacions5;habitacions6;habitacions7;habitacions8;habitacions_9i_mes;amb_calefaccio;colectiva_o_central;individual;aparell_escalfar;sense_calefaccio;amb_telefon;sense_telefon;nc;amb_internet;sense_internet;ruinos;dolent;deficient;bo;preum2_2009;preum2_2010;preum2_2011;preum2_2012;preum2_2013;preulloguerm2_2011;preulloguerm2_2010.;preulloguerm2_2009;preulloguerm2_2008;preulloguerm2_2007;electors_l07;votants_l07;psc_l07;ciu_l07;pp_l07;icv_l07;erc_l07;altre_l07;electors_l11;votants_l11;ciu_l11;psc_l11;pp_l11;icv_l11;erc_l11;altres_l11;blancs_l11;nuls_l11;electors_a10;votants_a10;abstencio_a10;ciu_a10;psc_a10;pp_a10;icv_a10;erc_a10;cs_a10;si_a10;altres_a10;blancs_a10;nuls_a10;electors_a12;votants_a12;abstencio_a12;ciu_a12;pp_a12;erc_a12;psc_a12;icv_a12;cs_a12;cup_a12;altres_a12;blancs_a12;nuls_a12;electors_g11;votants_g11;abstencio_g11;ciu_g11;psc_g11;pp_g11;icv_g11;erc_g11;eb_g11;upyc_g11;pxc_g11;pirata_g11;pacma_g11;anticapitalistes_g11;uce_g11;blancs_g11;nuls_g11;electors_eu14;votants_eu14;abstencio_eu14;erc_eu14;ciu_eu14;icv_eu14;psc_eu14;pp_eu14;cs_eu14;pocem_eu14;altres_eu14;blancs_eu14;nuls_eu14;de65_anys_i_mes_sols;de75_anys_i_mes_sols;index_envelliment;index_sobreenvelliment;dependencia_dem;habitatgeææ;aparcamentsææ;comerc;industriaææ;oficinesææ;ensenyamentææ;sanitatææ;hostaleriaææ;esportiuææ;religiosææ;espectaclesææ;altres_usosææ;taxa_natalitat_2014;taxa_mortalitat_2014;taxa_immigracio_2014;taxa_emigracio_2014;pensions_no_contr_jubilacio_2012;pensions_no_contr_invalidesa_2012
1;1; el Raval;rav;48800;110;444;983;26705;22095;5967;5179;31468;6186;1498;557;132;98;78;69;318;705;15565;479;222;839;339;200;83;215;50;86;27267;24329;350;43;72;94;34;12;3;11;36;638;47;28;50;1308;7;13;4;0;102;115;217;393;373;253;19;4;6;6;28;18;5;4;89;3;0;5;11;0;1;21;143;21;58;94;193;1;1;2;0;6;1;0;3;0;2;14;1;1;0;26;21;12;2;3;3;0;1;0;0;12;1520;0;8;0;1;2;37;0;0;51;0;0;0;3;1;0;0;20;0;0;0;0;29;159;0;0;0;0;17;83;0;334;0;4;0;98;1;172;4;13;0;0;28;2;293;469;273;319;490;1;157;191;58;137;196;43;2;4;2480;0;15;4346;0;974;8;10;10;14;27;6;5;0;1;0;5;0;1;1;171;1;5678;1;63;1;0;3;2;44;0;8;1;298;9;15;5;4;17292;2.8;148;454;661;650;522;474;388;333;343;386;313;457;372;354;143;27;6025;3372;14318;8917;7462;8724;13;1865;5521;3861;3454;4427;8;6.06;4228;2467;1644;1022;617;464;309;573;13743;1926;1098;399;218;9122;4791;3471;50.5;31.3;33.5;2534;1508;1026;439;514;513;472;477;482;173.8;162.2;4318;1921;749;1648;2694;1624;625,702,611,778;619,689,605,276;620,009,911,536;649,729,592,527;62.6;65.4;60.3;259;1340;337;301;109;173;285;149;15023;7943;2953;2424;601;492;610;127;130;140;168;188;262;292;301;289;267;244;1591;3369;17752;2985;3514;488;9915;366;484;632;9195;5859;1574;271;221;1044;2553;4650;4610;3192;1098;251;247;.;13985;655;4803;8528;3767;17548;.;.;9845;7907;.;950;5450;11115;3476;3205;2716;2290;2401;14;14;15;15;15;27032;9567;3338;1643;1448;1169;859;1110;22465;9079;1885;2195;1441;1178;519;1358;325;178;21739;9867;11872;2684;2228;1241;1205;646;296;326;899;256;86;21089;11149;9940;2555;1546;1471;1675;1540;703;645;809;122;83;21509;11380;10129;1986;3544;2295;1512;731;255;134;193;147;106;126;22;148;181;21167;7937;13230;1580;1088;1172;1330;863;336;545;859;96;68;33.6;39.5;95.3;56;34.2;23446;3028;2681;1517;869;236;46;914;26;68;75;30;8.7;6.6;92.9;51.4;479;783
1;2; el Barri Gotic;got;16267;84;193;477;8697;7570;1379;1357;11102;2429;607;217;71;43;24;40;118;313;6260;214;109;354;161;59;49;141;30;24;7433;9686;262;29;37;28;36;12;6;6;25;487;31;26;54;899;6;9;1;0;83;79;164;262;116;154;16;3;1;0;4;6;0;7;7;15;0;1;3;0;0;18;55;24;45;23;76;3;0;2;0;4;0;0;1;0;5;11;0;0;0;6;6;5;2;3;0;0;0;0;1;6;329;0;20;0;0;1;7;0;0;30;0;3;0;1;2;0;1;4;0;0;1;1;36;144;0;0;0;0;10;36;0;49;1;5;0;59;0;130;6;7;0;0;13;0;181;95;137;141;69;0;26;81;27;69;116;1;1;3;61;0;23;227;0;194;1;10;5;18;35;3;7;1;1;0;3;2;0;0;50;0;732;0;16;0;0;5;0;22;1;0;3;126;3;14;4;0;6832;2.4;78;245;328;311;231;195;205;168;177;142;103;114;111;131;62;20;2621;897;2825;2557;3480;5110;2;484;1114;1090;1571;2635;1;2628;1925;1019;620;293;136;78;44;87;5851;614;278;72;15;3777;1807;1246;50;32.4;36.2;953;559;394;117;117;113;137;108;87;117.6;97.2;1095;443;187;465;623;472;808,210,382,798;94,327,326,553;92,263,229,454;987,857,044,524;80.8;99.7;103.6;154;2518;252;500;81;162;370;400;14629;6565;4437;905;944;1136;642;90;128;1014;158;664;264;225;206;231;243;207;872;1859;8209;1239;807;255;5697;.;.;152;2427;3022;1546;589;472;334;1076;1265;2138;1570;1146;420;202;.;7080;.;2885;4077;1129;8088;.;.;6168;2041;.;.;2012;5929;3754;3584;3109;2885;3192;14;14;14;14;16;11111;4452;1296;969;525;681;447;534;9807;4165;961;825;517;679;275;660;176;72;9391;4490;4901;1347;799;436;687;351;138;183;365;151;33;8731;4885;3846;1231;568;705;526;798;267;395;323;42;30;9139;4975;4164;1039;1241;758;859;479;120;61;42;86;49;69;6;74;92;8628;3594;5034;810;616;589;432;311;157;256;352;42;29;28.6;32.1;164.2;57.2;30.8;10507;789;1791;1.98;1209;232;34;863;7;67;23;127;5.8;9;102.8;47.5;165;201
1;3; la Barceloneta;bcneta;15503;131;118;1185;7767;7736;1468;1338;9563;3134;1010;138;51;36;32;23;86;215;7678;209;96;255;96;80;24;66;19;27;5362;10757;175;23;18;45;31;15;4;3;32;197;16;23;28;647;3;11;2;0;74;81;102;187;101;172;17;3;2;0;16;2;1;4;12;1;0;6;2;0;1;16;58;16;17;60;91;1;0;0;0;0;0;0;0;0;0;10;0;2;0;3;2;0;0;0;0;0;0;1;0;0;402;0;0;0;0;0;14;0;0;17;0;0;0;1;0;0;0;0;0;0;0;0;14;77;0;0;0;0;7;40;1;34;0;0;1;20;1;60;2;1;0;0;21;1;122;116;130;132;100;0;26;62;32;51;76;1;0;1;33;0;5;16;0;100;0;2;0;11;7;5;0;0;0;0;5;6;2;0;28;0;529;0;6;0;0;4;0;25;0;0;0;50;3;11;1;0;7032;2.2;77;211;311;313;210;172;163;177;139;164;139;198;230;178;83;13;2778;1535;3283;3377;2743;3077;5;968;1615;1516;1280;1652;1;2.78;2032;1124;662;250;72;44;27;40;5979;653;323;63;13;4668;1512;851;49.7;32.6;35.2;727;381;346;115;126;120;137;119;101;97.7;83.5;1250;480;206;564;659;591;659,351,822,982;644,188,876,996;725,904,442,481;730,864,300,356;65.9;69;82.1;100;2008;137;106;38;79;104;86;8944;4080;2658;1103;559;259;285;68;73;100;98;126;189;215;229;223;169;158;838;1228;8164;1843;1869;256;3719;.;320;1422;4154;2199;324;.;.;554;1915;2875;1650;891;225;.;.;.;6740;.;3006;3608;1424;8120;.;.;4428;3736;.;306;1854;5972;.;.;3618;4008;3490;17;18;18;18;19;10692;4295;1577;789;486;369;414;660;10291;3930;924;1053;533;407;261;484;156;112;10002;4592;5410;1381;1100;492;399;359;147;103;386;123;102;9506;5314;4192;1345;578;901;757;648;335;267;384;44;55;9838;5283;4555;1067;1790;856;575;350;157;49;144;37;49;28;6;86;89;9495;3482;6013;983;516;396;543;314;167;192;317;39;15;32.4;37.8;200;59.9;42.6;9202;1429;439;75;173;60;61;235;26;16;0;39;6.8;12.6;77.7;43.3;105;164
1;4; Sant Pere, Santa Caterina i la Ribera;stpere;22769;111;204;705;11334;11435;2214;1905;15065;3585;788;334;87;60;48;41;213;425;9173;301;150;565;227;92;66;178;26;46;9949;13980;364;39;69;40;46;6;7;5;43;673;51;31;80;1219;10;17;0;3;150;62;165;442;78;187;20;2;4;4;2;0;4;11;29;8;0;5;2;0;0;19;80;11;43;49;147;0;0;3;0;4;1;0;3;0;3;9;0;1;0;11;35;9;0;0;1;0;0;0;0;5;667;0;5;2;0;0;16;0;0;92;0;3;0;5;0;0;1;11;0;0;0;0;29;218;0;0;0;0;8;46;0;242;0;5;0;34;0;158;8;13;0;0;20;1;258;134;192;203;149;0;29;122;41;85;126;3;1;2;35;0;13;329;0;149;1;5;0;23;65;0;5;1;2;0;10;1;0;0;7;0;467;3;1;1;0;3;0;19;0;0;3;363;5;28;9;0;10085;2.3;88;275;555;534;386;300;225;226;231;207;183;205;270;217;82;34;4018;1470;3871;3476;4455;7193;8;876;1850;1565;2092;3859;5;4.02;2881;1542;879;389;165;76;57;73;8579;886;454;119;44;5854;2528;1.7;49.7;32.3;34.1;1097;580;517;181;227;206;196;213;176;103.3;95.1;1736;665;287;784;917;820;817,954,177,929;887,939,941,638;912,448,075,692;861,113,460,684;81.8;89.3;91.2;211;1078;262;221;88;140;236;150;10444;5538;2386;1371;388;283;478;113;99;121;120;150;195;216;243;214;199;178;1129;2115;10380;1654;1946;361;5874;175;369;514;4362;3535;1155;470;344;825;1959;2207;2204;1914;827;187;.;171;8443;172;3603;4667;1937;10292;.;.;6208;4172;.;203;2599;7459;3971;3821;3511;3188;3202;15;15;16;16;17;14117;6323;1906;1355;808;958;586;710;13520;6243;1424;1320;846;1005;325;922;247;154;12771;6670;6101;1928;1335;799;940;466;220;218;507;206;51;12397;7334;5063;1823;887;979;891;1198;472;472;494;56;62;12720;7499;5221;1508;2028;1319;1192;543;187;93;69;76;83;80;18;123;180;12707;5479;7228;1078;844;978;705;526;280;371;594;73;30;34;39.5;150.2;58;34.7;14733;1859;1339;1005;824;135;21;255;4;49;28;107;7.4;8;80.2;44.4;172;207
2;5; el Fort Pienc;fortp;31738;93;342;950;14824;16914;3653;2707;18742;6636;1005;782;119;69;57;75;338;916;18616;454;214;529;370;152;101;199;96;35;7611;25367;203;18;44;37;11;4;2;1;16;456;13;12;28;793;10;6;0;0;56;53;127;174;139;71;12;3;6;5;8;15;2;3;14;1;0;0;8;0;4;9;76;8;22;48;20;0;1;1;0;4;0;0;1;0;1;14;0;0;0;2;4;7;1;1;1;0;0;0;0;8;148;0;2;2;0;0;4;0;0;22;0;0;0;3;0;0;0;4;0;0;0;0;19;68;0;0;0;0;12;70;0;115;0;15;0;67;1;165;13;6;0;0;10;0;189;182;192;216;160;0;42;259;56;142;137;0;0;0;25;1;10;34;0;48;0;8;1;9;16;3;7;0;0;0;5;1;5;0;35;0;160;1;4;0;0;4;0;24;0;0;3;1044;11;7;0;0;13042;2.4;77;255;419;363;275;247;231;261;302;283;273;331;379;246;127;38;4107;1367;4036;5138;7758;9492;7;843;2415;2773;3802;5123;4;4115;3.8;2502;1725;519;172;82;52;74;10447;1507;882;158;47;10152;1439;1.45;48.1;31.6;35.7;1.15;581;569;259;242;262;289;245;251;65.3;61.8;1755;643;307;805;840;915;1,083,483,441,342;1,091,314,737,927;1,085,387,273,273;979,046,299,771;108.3;98;99;330;1885;407;393;134;237;369;213;18346;11083;3968;1501;590;426;778;308;285;368;470;431;615;629;665;584;486;484;2301;2521;13166;4931;2599;376;4644;218;398;.;1977;7766;2689;375;231;184;565;1552;3553;4203;2518;369;.;.;11948;280;8138;3531;1218;13061;.;105;9233;3933;.;268;721;12072;4084;3797;3401;3042;2917;12;12;13;13;14;22919;12761;3250;3723;1826;1235;1264;1463;22541;12915;4167;2274;1979;1399;824;1463;594;215;22088;14802;7286;5842;2176;1926;1390;1038;605;491;820;443;71;21983;16329;5654;5301;2216;2328;1485;1857;1277;744;805;217;99;22072;15664;6408;4962;3332;3001;1630;1298;336;210;115;123;103;60;15;256;223;22164;12356;9808;2916;2870;1603;1144;1315;882;506;901;149;70;25.2;30.4;168.3;55.3;50.2;15616;7655;995;923;639;60;21;112;12;17;13;12;8;10.2;50.3;32.7;122;71
2;6; la Sagrada Familia;sagrfam;51806;105;493;1006;23799;28007;5342;4287;30726;11451;1709;1496;188;126;74;103;588;1482;30874;682;379;805;435;277;121;253;103;70;12041;42465;211;18;43;52;10;13;8;5;14;362;32;16;49;900;6;11;0;0;74;109;165;192;217;62;18;3;5;5;64;9;2;14;63;4;0;0;10;0;0;14;143;23;16;112;48;0;0;0;1;8;0;0;0;0;0;6;0;1;0;9;14;6;4;2;0;0;1;1;0;2;260;0;5;0;0;0;2;0;0;18;0;0;2;4;0;0;0;2;0;0;1;0;21;105;0;0;0;0;16;120;0;217;0;20;0;122;0;274;19;18;0;0;33;0;259;522;208;604;424;0;188;631;88;224;208;0;4;3;28;0;27;77;0;85;2;14;2;14;47;7;3;0;0;0;14;1;1;0;100;0;136;0;4;0;0;2;1;40;0;4;1;905;14;7;6;0;22241;2.3;102;449;690;593;489;488;451;429;499;543;468;601;733;602;258;69;7464;2515;7352;9134;12405;14633;9;1600;4604;4888;6051;8078;5;7473;6559;4.15;2783;733;274;137;58;72;18355;2367;1286;197;34;17728;2107;2404;48.9;32.1;36.2;1835;878;957;368;399;401;387;412;416;71.3;71.4;2819;1072;478;1269;1344;1474;1,006,878,262,369;98,398,760,855;972,876,581,066;960,542,000,851;100.7;95.3;97.5;457;3010;665;596;214;323;608;352;28040;17179;6225;2554;786;535;761;428;412;574;586;624;892;953;978;955;827;716;3687;4276;23509;8493;5376;1048;7274;339;979;161;5175;13895;3726;416;137;247;1063;3523;7104;6703;4225;501;.;.;20658;910;12259;7488;2852;22625;.;884;15572;7937;.;332;1805;20489;4026;3930;3501;3088;2869;12;12;13;13;14;41248;20913;5426;6234;2676;2019;2290;2268;38459;20833;6608;3892;2965;2252;1374;2427;966;349;37747;24454;13293;9617;3865;2775;2332;1894;850;834;1308;816;163;37127;27106;10021;9196;3388;4267;2589;3064;1791;1115;1204;329;163;37696;25982;11714;8122;5990;4542;2704;2237;526;301;203;231;179;124;25;432;366;37327;20075;17252;5280;4730;2521;1916;1938;1148;822;1360;248;112;28.5;33.8;202.3;58.3;49.6;27503;11988;2786;1298;748;53;91;114;22;8;8;22;6.6;10.9;48.9;32.4;223;192
2;7; la Dreta de l'Eixample;dreix;43384;212;204;381;19798;23586;5094;3641;25232;9417;1042;850;146;148;100;93;302;803;27046;570;196;581;552;157;151;312;93;57;10185;35197;438;53;83;41;31;9;4;6;21;839;50;18;74;1254;7;17;5;4;154;67;180;385;92;110;21;3;3;11;13;8;3;8;20;8;1;2;3;1;0;7;123;20;42;21;31;1;0;0;0;8;0;0;2;0;1;17;0;3;1;1;1;2;1;2;2;0;2;0;0;1;122;1;0;0;0;0;8;0;0;9;0;0;0;4;0;1;1;0;0;1;4;0;35;256;0;0;0;0;9;65;0;84;0;12;6;70;0;268;12;14;0;0;13;0;255;240;217;331;124;0;87;218;62;169;137;2;9;1;23;0;41;48;0;44;0;11;1;33;63;4;3;0;1;0;10;1;3;0;7;0;46;2;7;0;0;14;0;36;0;1;3;554;12;26;10;0;18486;2.3;129;408;609;597;487;419;391;440;485;508;397;479;506;421;217;82;6575;1409;3494;5068;10215;17768;3;908;2321;2889;5388;9469;2;6.58;5182;3023;2363;840;247;120;48;80;14985;1906;1.27;273;49;13924;2358;2201;48.1;33.1;36.9;1422;688;734;353;343;387;369;370;337;62;61.8;1879;775;334;770;859;1019;1,379,901,192,377;1,435,552,740,704;1,440,784,381,869;1,516,682,165,401;138;150.1;165.7;791;3876;973;820;374;462;696;466;37176;20499;8458;2473;1434;1964;2348;602;654;706;772;874;1204;1180;1089;1047;896;745;3695;5228;18660;5520;2484;962;8496;429;768;375;2995;6035;4688;2267;2300;530;1146;2368;3700;4057;3733;1484;1039;604;17456;1332;10962;5162;1204;18382;.;267;13655;5004;.;.;812;17488;5003;.;.;.;.;13;14;14;14;15;33300;18117;3403;6685;2726;1780;1458;2065;31090;18281;7265;2435;2788;1763;985;1981;789;275;30221;20833;9388;9312;2312;2698;1840;1156;895;785;1111;625;99;30018;22588;7430;9025;3102;2759;1513;2300;1592;986;909;271;131;30284;21627;8657;8006;3410;4422;2156;1795;460;248;86;165;105;120;4;333;317;30522;17551;12971;3647;5365;2247;1224;1992;1086;583;1083;248;76;27.9;31.2;171;58.3;51.9;26.77;10439;4891;2788;6171;423;228;839;47;188;89;153;8.5;12.5;54;32.8;202;162
2;8; l'Antiga Esquerra de l'Eixample;aesqeix;41773;123;338;624;19137;22636;4479;3371;24733;9190;1112;802;172;159;80;82;302;770;25286;583;191;598;486;162;136;281;72;50;10449;33577;324;25;51;48;26;15;5;1;22;535;38;22;45;1089;8;7;0;1;122;100;157;329;112;91;7;7;8;14;3;15;4;3;16;4;0;4;12;0;1;22;132;21;36;91;17;0;0;0;0;5;0;0;0;0;0;6;0;1;1;1;2;3;1;1;1;0;1;0;0;2;97;0;0;2;0;0;12;1;0;6;0;1;0;2;0;0;0;2;0;0;0;0;43;207;0;0;1;1;13;59;0;90;0;19;1;78;1;275;23;40;0;0;34;0;254;275;273;372;163;0;84;346;48;179;148;0;2;3;37;0;29;341;0;54;0;10;4;24;70;6;0;0;2;1;21;6;3;0;23;0;101;5;11;0;0;5;0;35;0;1;2;605;10;11;9;0;18251;2.3;106;467;664;560;454;400;414;407;467;453;395;450;569;458;226;78;6568;1500;3949;5559;10125;15915;11;945;2563;3078;5216;8450;4;6575;5267;3079;2104;771;245;102;51;55;15126;1808;1032;246;37;13.87;2193;2186;48.4;33.2;37.2;1366;658;708;368;338;353;323;314;321;65.4;64.7;2088;891;380;819;983;1105;1,228,362,396,591;1,225,989,311,385;1,258,944,275,721;1,213,425,711,002;122.8;119.2;125.1;708;3388;860;659;314;391;653;443;27895;16015;7416;2303;848;544;769;397;457;519;584;682;873;883;856;775;659;637;2956;4383;17932;5559;2727;894;7611;379;762;255;2659;7625;5211;1486;696;162;919;2320;4565;4846;3508;1064;341;208;16401;1175;10704;4522;1531;17489;.;377;12547;5385;.;.;825;16661;4438;4331;3840;3378;3407;12;13;13;13;14;30590;16841;3433;6011;2618;1427;1389;1963;29959;17180;6594;2546;2665;1689;937;1839;685;225;29098;19588;9510;8834;2376;2592;1534;1217;774;620;963;580;98;28990;21419;7571;8502;2973;2614;1581;2165;1648;771;804;246;115;29237;20625;8612;7650;3651;4124;1927;1609;442;227;99;149;117;94;14;295;227;29603;16318;13285;3476;4848;1923;1239;1818;1036;644;1056;197;81;28.5;33.2;192.6;58.2;50.3;24269;9707;3298;1891;1892;245;146;496;36;52;45;158;7.9;10.3;59.2;32.8;205;110
2;9; la Nova Esquerra de l'Eixample;nesqeix;57819;134;432;880;26697;31122;6073;5094;33878;12774;1657;1466;206;205;91;130;565;1525;35573;851;351;852;593;298;171;304;139;104;12738;48020;264;35;45;49;20;13;5;3;20;469;32;26;37;1056;11;11;2;2;81;76;185;215;226;59;22;1;10;24;43;11;3;3;48;3;0;1;22;0;1;9;179;20;29;97;24;1;1;1;0;6;0;0;3;0;1;8;0;4;0;2;9;5;1;1;1;0;1;1;0;0;243;2;8;4;0;0;9;1;0;4;0;1;0;1;1;0;1;7;0;0;0;0;17;139;0;1;0;0;31;103;1;174;0;23;0;99;2;285;16;35;0;0;24;1;314;404;335;484;337;0;143;527;59;263;203;0;4;7;32;0;23;271;0;116;1;17;2;11;98;13;17;0;1;0;22;2;0;0;7;0;165;4;28;1;0;6;0;34;0;1;0;1058;6;10;2;0;24667;2.3;155;497;708;656;528;474;486;515;575;641;558;631;730;614;287;72;8127;2350;6857;8834;14385;18893;24;1493;4394;4817;7144;10069;13;8141;7337;4511;3126;941;328;136;75;68;20.35;2491;1546;238;38;19786;2321;2556;48.4;32.3;35.8;2032;1007;1025;430;480;431;434;413;489;61.5;59.2;3027;1172;580;1275;1468;1560;1,165,681,324,997;1,143,202,552,161;1,151,790,625,472;1,076,661,557,352;116.6;105.9;108.6;722;4033;885;783;340;448;787;466;36459;22048;8464;3110;1151;794;892;610;539;734;812;848;1286;1351;1256;1153;1034;910;4360;5424;27115;9924;5403;853;9234;610;1091;321;4782;14077;6448;1146;341;491;999;3650;6386;8374;6325;598;206;.;24367;1487;16136;6744;2748;26381;.;734;18902;8213;.;.;2956;23324;4190;4228;3665;3082;3016;12;13;13;13;13;47865;24354;5704;7780;3736;2157;2444;2533;43015;24229;8594;4022;3860;2358;1444;2655;967;329;42309;28342;13967;11852;3743;3678;2394;1986;1100;980;1567;857;185;41959;31306;10653;11432;4279;4331;2582;3356;2330;1192;1284;354;166;42181;30027;12154;10345;5812;6023;2830;2485;552;338;216;291;170;149;18;448;350;42325;23496;18829;5496;6161;2792;2028;2542;1517;915;1543;375;127;27.5;33.3;198.4;54.5;50.3;30153;18036;2628;1619;1808;204;127;216;34;40;42;27;6.5;8.4;51.8;33.6;243;188
2;10; Sant Antoni;stant;38260;80;478;923;17911;20349;3917;3060;22498;8785;1281;841;125;133;77;90;310;833;22519;599;226;661;367;185;126;219;77;60;9531;30691;217;23;41;34;12;9;3;1;6;390;30;11;26;842;5;9;4;0;82;52;157;221;120;69;9;0;4;10;15;7;0;5;33;1;0;1;3;0;2;11;92;9;17;32;20;2;0;0;0;2;1;0;1;1;2;4;0;0;0;6;3;6;0;3;4;0;0;0;0;5;175;0;0;0;0;0;6;0;0;28;1;0;0;0;3;0;1;7;0;0;0;0;10;111;0;0;0;0;8;89;0;187;0;6;2;54;1;154;16;18;0;0;29;0;200;252;219;312;273;0;94;299;65;149;120;0;1;4;147;0;19;421;0;140;3;3;0;15;42;0;3;0;0;0;9;0;0;0;32;0;482;5;4;0;0;7;0;23;0;0;3;625;4;11;2;0;16562;2.3;90;308;496;446;385;380;341;309;351;431;377;482;603;456;217;43;5715;1975;5907;6660;8890;10617;18;1295;3491;3457;4267;5707;9;5716;5043;2875;1824;611;228;126;57;79;13708;1737;914;157;43;12918;1681;1.96;49.9;31.8;35.4;1332;673;659;301;276;284;279;293;280;74.2;72.3;2198;902;394;902;1082;1117;1,028,598,921,992;995,384,079,504;953,756,982,253;959,070,829,614;102.9;94.8;102.5;393;2112;512;513;168;254;430;299;20323;12121;4681;1904;624;406;587;452;337;392;413;430;594;615;662;629;515;534;2458;3115;17554;6217;3183;672;6410;367;705;197;3142;9588;3700;734;194;348;910;2400;4442;5123;3393;650;131;157;15570;650;9409;5511;1985;17096;.;458;11765;5789;.;373;1441;15268;3847;3782;3318;2956;2863;12;12;13;13;14;30480;15308;3916;4590;1949;1569;1669;1615;27821;15208;4964;2722;1992;1737;1088;1775;643;287;27257;17499;9758;7023;2581;1954;1758;1370;543;667;969;521;113;26874;19190;7684;6711;2222;2970;1688;2312;1130;856;957;223;121;27175;18555;8620;5926;4011;3161;2049;1728;318;198;180;170;112;111;16;299;276;27082;14493;12589;3720;3528;1945;1342;1320;663;715;1008;164;88;29.8;35.3;206.7;58.4;51.3;20234;8178;3055;1396;800;95;61;161;27;25;37;26;7.6;10.2;52.2;34.3;185;147
