Nom variable antic;Nom variable nou;Descripció variable;Any;Font;Comentaris 
Dte.;districte;Codi de Districte;;bcn.cat/estadistica;
Barris;barri;Codi de barri;;bcn.cat/estadistica;
barri_nom;barri_nom;Nom de barri;;bcn.cat/estadistica;
Població;poblacio;Població barri;2013;bcn.cat/estadistica;
"Superfície
(ha)";superficie;Superfície;;bcn.cat/estadistica;
"Densitat
(hab/ha)";densitat;"Densitat de població
(hab/ha)";2013;bcn.cat/estadistica;
"Densitat neta
(hab/ha)";;"Densitat neta
(hab/ha)";2013;bcn.cat/estadistica;
Homes;homes;Homes;2013;bcn.cat/estadistica;
Dones;dones;Dones;2013;bcn.cat/estadistica;
0 anys;_0anys;Població de menys d'1 any;2013;bcn.cat/estadistica;
1 any;_1any;Població 1 any;2013;bcn.cat/estadistica;
2 anys;_2anys;;;;
3 anys;;;;;
4 anys;;;;;
5 anys;;;;;
6 anys;;;;;
7 anys;;;;;
8 anys;;;;;
9 anys;;;;;
10 anys;;;;;
11 anys;;;;;
12 anys;;;;;
13 anys;;;;;
14 anys;;;;;
15 anys;;;;;
16 anys;;;;;
17 anys;;;;;
18 anys;;;;;
19 anys;;;;;
20 anys;;;;;
21 anys;;;;;
22 anys;;;;;
23 anys;;;;;
24 anys;;;;;
25 anys;;;;;
26 anys;;;;;
27 anys;;;;;
28 anys;;;;;
29 anys;;;;;
30 anys;;;;;
31 anys;;;;;
32 anys;;;;;
33 anys;;;;;
34 anys;;;;;
35 anys;;;;;
36 anys;;;;;
37 anys;;;;;
38 anys;;;;;
39 anys;;;;;
40 anys;;;;;
41 anys;;;;;
42 anys;;;;;
43 anys;;;;;
44 anys;;;;;
45 anys;;;;;
46 anys;;;;;
47 anys;;;;;
48 anys;;;;;
49 anys;;;;;
50 anys;;;;;
51 anys;;;;;
52 anys;;;;;
53 anys;;;;;
54 anys;;;;;
55 anys;;;;;
56 anys;;;;;
57 anys;;;;;
58 anys;;;;;
59 anys;;;;;
60 anys;;;;;
61 anys;;;;;
62 anys;;;;;
63 anys;;;;;
64 anys;;;;;
65 anys;;;;;
66 anys;;;;;
67 anys;;;;;
68 anys;;;;;
69 anys;;;;;
70 anys;;;;;
71 anys;;;;;
72 anys;;;;;
73 anys;;;;;
74 anys;;;;;
75 anys;;;;;
76 anys;;;;;
77 anys;;;;;
78 anys;;;;;
79 anys;;;;;
80 anys;;;;;
81 anys;;;;;
82 anys;;;;;
83 anys;;;;;
84 anys;;;;;
85 anys;;;;;
86 anys;;;;;
87 anys;;;;;
88 anys;;;;;
89 anys;;;;;
90 anys;;;;;
91 anys;;;;;
92 anys;;;;;
93 anys;;;;;
94 anys;;;;;
95 anys i més;;;;;
0.14 anys;;;;;
15.24 anys;;;;;
25.64 anys;;;;;
65 anys i més;;;;;
Andalusia;;;;;
Aragó;;;;;
"Astúries 
(Principat d')";;;;;
"Balears, 
les (Illes)";;;;;
Canàries;;;;;
Cantàbria;;;;;
"Castella.
la Manxa";;;;;
"Castella 
i Lleó";;;;;
Catalunya;;;;;
"Comunitat 
Valenciana, la";;;;;
Extremadura;;;;;
Galícia;;;;;
"Madrid 
(Comunitat de)";;;;;
"Múrcia 
(Regió de)";;;;;
"Navarra 
(Comunitat 
Foral de)";;;;;
"País 
Basc, el";;;;;
Rioja, la;;;;;
Ceuta.Melilla;;;;;
Estranger;;;;;
Espanya;;;;;
Alemanya;;;;;
Àustria;;;;;
Bèlgica;;;;;
Bulgària;;;;;
Dinamarca;;;;;
Eslovàquia;;;;;
Eslovènia;;;;;
Estònia;;;;;
Finlàndia;;;;;
França;;;;;
Grècia;;;;;
Hongria;;;;;
Irlanda;;;;;
Itàlia;;;;;
Letònia;;;;;
Lituània;;;;;
Luxemburg;;;;;
Malta;;;;;
"Països
Baixos";;;;;
Polònia;;;;;
Portugal;;;;;
"Regne
Unit";;;;;
Romania;;;;;
Suècia;;;;;
"Txeca,
República";;;;;
Xipre;;;;;
;;;;;
Albània;;;;;
Andorra;;;;;
Armènia;;;;;
Bielorússia;;;;;
"Bòsnia i
Hercegovina";;;;;
Croàcia;;;;;
Geòrgia;;;;;
Islàndia;;;;;
Liechtenstein;;;;;
Macedònia;;;;;
Moldàvia;;;;;
Mònaco;;;;;
Montenegro;;;;;
Noruega;;;;;
Rússia;;;;;
Sèrbia;;;;;
Suïssa;;;;;
Ucraïna;;;;;
;;;;;
Algèria;;;;;
Angola;;;;;
Benín;;;;;
"Burkina
Faso";;;;;
Burundi;;;;;
Camerun;;;;;
"Cap
Verd";;;;;
"Centreafricana,
República";;;;;
Congo;;;;;
"Congo, República
Democràtica del";;;;;
"Costa
d'Ivori";;;;;
Egipte;;;;;
Eritrea;;;;;
Etiòpia;;;;;
Gabon;;;;;
Gàmbia;;;;;
Ghana;;;;;
Guinea;;;;;
"Guinea
Bissau";;;;;
"Guinea
Equatorial";;;;;
Kenya;;;;;
Libèria;;;;;
Líbia;;;;;
Madagascar;;;;;
Malawi;;;;;
Mali;;;;;
Marroc;;;;;
Maurici;;;;;
Mauritània;;;;;
Moçambic;;;;;
Namíbia;;;;;
Níger;;;;;
Nigèria;;;;;
Rwanda;;;;;
"São Tomé i
Príncipe";;;;;
Senegal;;;;;
Seychelles;;;;;
"Sierra
Leone";;;;;
Somàlia;;;;;
Sudafrica;;;;;
Sudan;;;;;
Tanzània;;;;;
Togo;;;;;
Tunísia;;;;;
Uganda;;;;;
Zàmbia;;;;;
Zimbabwe;;;;;
"Altres països
Àfrica";;;;;
Canadà;;;;;
"Estats Units
d'Amèrica";;;;;
"Antigua i
Barbuda";;;;;
Bahames;;;;;
